"","teamID","yearID","lgID","G","W","L","R","RA","RD"
"1","ANA",2001,"AL",162,75,87,691,730,-39
"2","ARI",2001,"NL",162,92,70,818,677,141
"3","ATL",2001,"NL",162,88,74,729,643,86
"4","BAL",2001,"AL",162,63,98,687,829,-142
"5","BOS",2001,"AL",161,82,79,772,745,27
"6","CHA",2001,"AL",162,83,79,798,795,3
"7","CHN",2001,"NL",162,88,74,777,701,76
"8","CIN",2001,"NL",162,66,96,735,850,-115
"9","CLE",2001,"AL",162,91,71,897,821,76
"10","COL",2001,"NL",162,73,89,923,906,17
"11","DET",2001,"AL",162,66,96,724,876,-152
"12","FLO",2001,"NL",162,76,86,742,744,-2
"13","HOU",2001,"NL",162,93,69,847,769,78
"14","KCA",2001,"AL",162,65,97,729,858,-129
"15","LAN",2001,"NL",162,86,76,758,744,14
"16","MIL",2001,"NL",162,68,94,740,806,-66
"17","MIN",2001,"AL",162,85,77,771,766,5
"18","MON",2001,"NL",162,68,94,670,812,-142
"19","NYA",2001,"AL",161,95,65,804,713,91
"20","NYN",2001,"NL",162,82,80,642,713,-71
"21","OAK",2001,"AL",162,102,60,884,645,239
"22","PHI",2001,"NL",162,86,76,746,719,27
"23","PIT",2001,"NL",162,62,100,657,858,-201
"24","SDN",2001,"NL",162,79,83,789,812,-23
"25","SEA",2001,"AL",162,116,46,927,627,300
"26","SFN",2001,"NL",162,90,72,799,748,51
"27","SLN",2001,"NL",162,93,69,814,684,130
"28","TBA",2001,"AL",162,62,100,672,887,-215
"29","TEX",2001,"AL",162,73,89,890,968,-78
"30","TOR",2001,"AL",162,80,82,767,753,14
"31","ANA",2002,"AL",162,99,63,851,644,207
"32","ARI",2002,"NL",162,98,64,819,674,145
"33","ATL",2002,"NL",161,101,59,708,565,143
"34","BAL",2002,"AL",162,67,95,667,773,-106
"35","BOS",2002,"AL",162,93,69,859,665,194
"36","CHA",2002,"AL",162,81,81,856,798,58
"37","CHN",2002,"NL",162,67,95,706,759,-53
"38","CIN",2002,"NL",162,78,84,709,774,-65
"39","CLE",2002,"AL",162,74,88,739,837,-98
"40","COL",2002,"NL",162,73,89,778,898,-120
"41","DET",2002,"AL",161,55,106,575,864,-289
"42","FLO",2002,"NL",162,79,83,699,763,-64
"43","HOU",2002,"NL",162,84,78,749,695,54
"44","KCA",2002,"AL",162,62,100,737,891,-154
"45","LAN",2002,"NL",162,92,70,713,643,70
"46","MIL",2002,"NL",162,56,106,627,821,-194
"47","MIN",2002,"AL",161,94,67,768,712,56
"48","MON",2002,"NL",162,83,79,735,718,17
"49","NYA",2002,"AL",161,103,58,897,697,200
"50","NYN",2002,"NL",161,75,86,690,703,-13
"51","OAK",2002,"AL",162,103,59,800,654,146
"52","PHI",2002,"NL",161,80,81,710,724,-14
"53","PIT",2002,"NL",161,72,89,641,730,-89
"54","SDN",2002,"NL",162,66,96,662,815,-153
"55","SEA",2002,"AL",162,93,69,814,699,115
"56","SFN",2002,"NL",162,95,66,783,616,167
"57","SLN",2002,"NL",162,97,65,787,648,139
"58","TBA",2002,"AL",161,55,106,673,918,-245
"59","TEX",2002,"AL",162,72,90,843,882,-39
"60","TOR",2002,"AL",162,78,84,813,828,-15
"61","ANA",2003,"AL",162,77,85,736,743,-7
"62","ARI",2003,"NL",162,84,78,717,685,32
"63","ATL",2003,"NL",162,101,61,907,740,167
"64","BAL",2003,"AL",163,71,91,743,820,-77
"65","BOS",2003,"AL",162,95,67,961,809,152
"66","CHA",2003,"AL",162,86,76,791,715,76
"67","CHN",2003,"NL",162,88,74,724,683,41
"68","CIN",2003,"NL",162,69,93,694,886,-192
"69","CLE",2003,"AL",162,68,94,699,778,-79
